"","er","n","scr","sir"
"1",0,50,0.1,"0.309444092315512"
"2",0.1,50,0.1,"0.396736616689231"
"3",0.2,50,0.1,"0.486667637971269"
"4",0,100,0.1,"0.363444181561744"
"5",0.1,100,0.1,"0.452832626397247"
"6",0.2,100,0.1,"0.544254713687438"
"7",0,200,0.1,"0.416690410630832"
"8",0.1,200,0.1,"0.507588113738611"
"9",0.2,200,0.1,"0.600103902319778"
"10",0,50,0.3,"0.257169008999856"
"11",0.1,50,0.3,"0.34002908207018"
"12",0.2,50,0.3,"0.426477560691139"
"13",0,100,0.3,"0.308616079369634"
"14",0.1,100,0.3,"0.394550006122617"
"15",0.2,100,0.3,"0.483281827275097"
"16",0,200,0.3,"0.359914717603737"
"17",0.1,200,0.3,"0.448044021719263"
"18",0.2,200,0.3,"0.538411984010778"
"19",0,50,1,"0.229702288782583"
"20",0.1,50,1,"0.307590441940579"
"21",0.2,50,1,"0.389837615026544"
"22",0,100,1,"0.277803249163985"
"23",0.1,100,1,"0.359605900324141"
"24",0.2,100,1,"0.444805762028392"
"25",0,200,1,"0.326166457263938"
"26",0.1,200,1,"0.410780953576656"
"27",0.2,200,1,"0.49817536524515"
"28",0,50,1e+09,"0.215893208398216"
"29",0.1,50,1e+09,"0.288960055944868"
"30",0.2,50,1e+09,"0.36634782471034"
"31",0,100,1e+09,"0.261462345818912"
"32",0.1,100,1e+09,"0.33871694989789"
"33",0.2,100,1e+09,"0.419450300923529"
"34",0,200,1e+09,"0.307334909075527"
"35",0.1,200,1e+09,"0.387682766431942"
"36",0.2,200,1e+09,"0.470985325005285"
